,comp_index,salb_index,overlap_percent,adm_level,comp_source
0,0,12,92.45778175461771,adm1,ocha
1,1,8,90.19289274542405,adm1,ocha
2,2,2,82.8329320375778,adm1,ocha
3,3,13,86.67937710209226,adm1,ocha
4,4,1,92.95798605676416,adm1,ocha
5,5,9,89.78903796098791,adm1,ocha
6,6,10,89.25130145019911,adm1,ocha
7,7,4,95.0930830131252,adm1,ocha
8,8,3,82.8959384549453,adm1,ocha
9,9,5,92.37653242778822,adm1,ocha
10,10,11,93.84903048695371,adm1,ocha
11,11,14,91.99478916463426,adm1,ocha
12,12,15,96.90466596074181,adm1,ocha
13,13,0,89.75302514864654,adm1,ocha
14,14,6,84.97020736377821,adm1,ocha
15,15,7,88.27596740830863,adm1,ocha
