,comp_index,salb_index,overlap_percent,adm_level,comp_source
0,0,0,74.29689640261873,adm2,ocha
1,1,1,86.45536693558509,adm2,ocha
2,2,706,97.72801304915403,adm2,ocha
3,3,238,80.92558143601407,adm2,ocha
4,4,29,87.717707617729,adm2,ocha
5,5,174,77.75420519194817,adm2,ocha
6,6,524,91.65013706614816,adm2,ocha
7,7,525,79.4756704374031,adm2,ocha
8,8,142,87.45299753719794,adm2,ocha
9,9,277,92.62251499335366,adm2,ocha
10,10,612,97.83065760083187,adm2,ocha
11,11,265,80.67958129368814,adm2,ocha
12,12,442,83.20928972365836,adm2,ocha
13,13,101,89.08221694962666,adm2,ocha
14,14,526,97.1528660584055,adm2,ocha
15,15,205,81.04541308170428,adm2,ocha
16,16,254,42.715300078994666,adm2,ocha
17,17,175,97.29372129304473,adm2,ocha
18,18,176,98.86608157399748,adm2,ocha
19,19,500,97.52361667669031,adm2,ocha
20,20,102,88.25864786544594,adm2,ocha
21,21,478,95.28545271644249,adm2,ocha
22,22,55,80.73958538501496,adm2,ocha
23,23,501,96.07496147978846,adm2,ocha
24,24,278,95.02954555430016,adm2,ocha
25,25,613,92.31789306467977,adm2,ocha
26,26,614,90.72663073498263,adm2,ocha
27,27,557,68.80980992689948,adm2,ocha
28,28,558,86.23132346042254,adm2,ocha
29,29,211,85.14387145492373,adm2,ocha
30,30,443,98.30881294133415,adm2,ocha
31,31,479,95.46860051838212,adm2,ocha
32,32,352,99.99976046634319,adm2,ocha
33,33,746,97.9374055862572,adm2,ocha
34,34,255,63.74968208446384,adm2,ocha
35,35,266,83.12371046342955,adm2,ocha
36,36,187,97.61120890566437,adm2,ocha
37,37,540,85.88409954427131,adm2,ocha
38,38,541,89.88576680311347,adm2,ocha
39,39,542,98.5825052882999,adm2,ocha
40,40,543,91.36109544435735,adm2,ocha
41,41,772,93.05542028218689,adm2,ocha
42,42,760,79.21695303121327,adm2,ocha
43,43,544,91.71822812728611,adm2,ocha
44,44,545,84.55376570457301,adm2,ocha
45,45,487,91.45136536961512,adm2,ocha
46,46,353,89.71009234405668,adm2,ocha
47,47,424,72.73534187386831,adm2,ocha
48,48,480,99.8027299023687,adm2,ocha
49,49,76,95.54268323072831,adm2,ocha
50,50,769,89.95015307428844,adm2,ocha
51,51,56,94.1654407665248,adm2,ocha
52,52,57,99.97014280043774,adm2,ocha
53,53,58,91.55902950554957,adm2,ocha
54,54,751,91.80536316509718,adm2,ocha
55,55,221,98.38503173024228,adm2,ocha
56,56,152,99.2664370211326,adm2,ocha
57,57,153,99.29727009943004,adm2,ocha
58,58,673,87.12493536757728,adm2,ocha
59,59,444,80.89923386184279,adm2,ocha
60,60,103,85.69560850868936,adm2,ocha
61,61,481,75.1745061947765,adm2,ocha
62,62,648,99.99991284464488,adm2,ocha
63,63,725,93.06065466733699,adm2,ocha
64,64,425,84.7992391619533,adm2,ocha
65,65,2,99.17297823625462,adm2,ocha
66,66,463,88.58910555271892,adm2,ocha
67,67,615,97.87832665170832,adm2,ocha
68,68,123,92.88266678985283,adm2,ocha
69,69,559,51.12855759635331,adm2,ocha
70,70,560,55.292342626894545,adm2,ocha
71,71,256,95.3550151903009,adm2,ocha
72,72,721,75.46130723184794,adm2,ocha
73,73,426,94.9364343346462,adm2,ocha
74,74,304,77.95508955768261,adm2,ocha
75,75,488,95.2809264389967,adm2,ocha
76,76,222,98.94483670634679,adm2,ocha
77,77,59,98.20532934934582,adm2,ocha
78,78,60,96.48608050271403,adm2,ocha
79,79,61,99.68486699985168,adm2,ocha
80,80,305,92.42544650539796,adm2,ocha
81,81,771,92.93038332577746,adm2,ocha
82,82,659,83.33180945343696,adm2,ocha
83,83,689,88.31447909675742,adm2,ocha
84,84,354,88.04384670525607,adm2,ocha
85,85,773,4.906876484359033,adm2,ocha
86,86,396,79.2149869085147,adm2,ocha
87,87,674,90.86469178192324,adm2,ocha
88,88,267,94.44951107131216,adm2,ocha
89,89,649,99.9999550915335,adm2,ocha
90,90,726,96.89355998568885,adm2,ocha
91,91,595,95.09014222772537,adm2,ocha
92,92,688,98.59717890542989,adm2,ocha
93,93,445,98.74692018762474,adm2,ocha
94,94,596,95.70946353215959,adm2,ocha
95,95,397,61.773962571084276,adm2,ocha
96,96,398,78.92341577338325,adm2,ocha
97,97,77,94.97566632738167,adm2,ocha
98,98,699,89.07740361095145,adm2,ocha
99,99,124,96.11973799446172,adm2,ocha
100,100,355,97.44940587828312,adm2,ocha
101,101,143,97.14560545730187,adm2,ocha
102,102,3,96.7436748923436,adm2,ocha
103,103,144,98.1276769154708,adm2,ocha
104,104,356,71.2372805263355,adm2,ocha
105,105,502,88.6609239218,adm2,ocha
106,106,268,83.30254700224948,adm2,ocha
107,107,399,60.70614123987902,adm2,ocha
108,108,630,64.29464806191758,adm2,ocha
109,109,306,90.9268318248645,adm2,ocha
110,110,307,98.95836086641468,adm2,ocha
111,111,329,94.69626778131217,adm2,ocha
112,112,427,74.91388658371174,adm2,ocha
113,113,675,82.47471007992472,adm2,ocha
114,114,125,96.3025349285883,adm2,ocha
115,115,631,82.69944155056726,adm2,ocha
116,116,78,87.48031583160473,adm2,ocha
