,comp_index,salb_index,overlap_percent,adm_level,comp_source
0,0,4,39.013073684660945,adm1,ocha
1,1,0,27.240009421431154,adm1,ocha
2,2,11,24.951408080751236,adm1,ocha
3,3,5,24.983231851694004,adm1,ocha
4,4,0,34.264879634890974,adm1,ocha
5,5,13,57.56665883447633,adm1,ocha
6,6,9,36.30118873826219,adm1,ocha
7,7,10,92.93890904205067,adm1,ocha
8,8,6,94.98586124798774,adm1,ocha
9,9,1,31.365572915856898,adm1,ocha
10,10,2,30.83307632724006,adm1,ocha
11,11,8,21.361793761592782,adm1,ocha
12,12,3,42.09709994954172,adm1,ocha
13,13,13,41.44207132226584,adm1,ocha
14,14,4,20.556827905563125,adm1,ocha
15,15,9,22.870376873437465,adm1,ocha
16,16,2,66.59220421805956,adm1,ocha
17,17,12,62.44607228349426,adm1,ocha
18,18,5,33.92539329932467,adm1,ocha
19,19,7,47.72170725772464,adm1,ocha
20,20,1,66.82311727558901,adm1,ocha
21,21,3,54.43400673949276,adm1,ocha
22,22,12,35.431499195264934,adm1,ocha
23,23,4,37.288229646276235,adm1,ocha
24,24,5,20.636610033591992,adm1,ocha
25,25,5,18.36889353702188,adm1,ocha
26,26,8,33.51097443000693,adm1,ocha
27,27,11,31.004260341046425,adm1,ocha
28,28,8,43.237314261009104,adm1,ocha
29,29,7,48.03806109417935,adm1,ocha
30,30,11,42.08940216223783,adm1,ocha
31,31,9,39.5363902662298,adm1,ocha
32,32,0,36.350420824978556,adm1,ocha
