,country,level,avg_overlap_percent,comp_source
0,mdg,adm0,99.73560740580297,ocha
1,mdg,adm1,27.072757841107794,ocha
2,mdg,adm2,19.015423893400612,ocha
3,mdg,all,20.8321952339778,ocha
