,comp_index,salb_index,overlap_percent,adm_level,comp_source
0,0,5,87.18053523029965,adm1,esri
1,1,3,90.7542085433213,adm1,esri
2,2,2,92.73336809285485,adm1,esri
3,3,7,92.89402635732615,adm1,esri
4,4,4,78.82209009500716,adm1,esri
5,5,8,98.80708441753404,adm1,esri
6,6,9,98.79305688120569,adm1,esri
7,7,1,97.88989704646842,adm1,esri
8,8,6,94.14178220146742,adm1,esri
9,9,0,97.74003619155299,adm1,esri
