,comp_index,salb_index,overlap_percent,adm_level,comp_source
0,0,2,97.52582989143389,adm1,esri
1,1,4,97.01749551561396,adm1,esri
2,2,1,66.05328428369779,adm1,esri
3,3,0,80.01265308195819,adm1,esri
4,4,3,97.70879092706518,adm1,esri
