,country,avg_overlap_percent,comp_source
0,bdi,99.75021835016229,ocha
1,cmr,99.66950881166632,ocha
2,caf,27.66031702288369,ocha
3,civ,32.62815559971016,ocha
4,cub,64.15057690650616,ocha
5,ecu,93.18077016918164,ocha
6,lso,23.51486887865559,ocha
7,mdg,20.8321952339778,ocha
8,moz,96.57997473459716,ocha
9,ner,94.09492259611623,ocha
10,nga,86.85638630539341,ocha
11,sen,98.21137638275972,ocha
12,tgo,82.82847977265149,ocha
